TransactionID,UserID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TeacherName,Age_x,Gender_x,Expertise,YearsOfExperience,TeacherRating,UserName,Age_y,Gender_y,Email,PriceBand,ExperienceLevel,RatingTier,EnrollmentCount,Revenue
TT00001,U00003,CR00016,25/10/2025,0.0,PayPal,TC00040,Digital Marketing,8,0,2,0.0,42.68,4.72,Kimberly Miller,49,Male,Cybersecurity,24,4.58,morrisonamanda,33,Female,ganderson@yahoo.com,0,1,1,1,0.0
TT00002,U00003,CR00037,13/1/2025,0.0,PayPal,TC00040,Scrum Essentials,10,0,2,0.0,33.93,3.45,Kimberly Miller,49,Male,Cybersecurity,24,4.58,morrisonamanda,33,Female,ganderson@yahoo.com,0,1,1,1,0.0
TT00003,U00003,CR00019,28/3/2025,0.0,Bank Transfer,TC00040,Content Marketing,8,0,0,0.0,18.0,2.98,Kimberly Miller,49,Male,Cybersecurity,24,4.58,morrisonamanda,33,Female,ganderson@yahoo.com,0,1,1,1,0.0
TT00004,U00004,CR00048,2/6/2025,0.0,Bank Transfer,TC00040,AI Ethics,0,0,1,0.0,42.7,3.64,Kimberly Miller,49,Male,Cybersecurity,24,4.58,fthornton,23,Female,christensencatherine@outlook.com,0,1,1,1,0.0
TT00005,U00004,CR00060,10/8/2025,0.0,PayPal,TC00042,Content Creation,5,0,1,0.0,8.95,2.14,Yolanda Levine,49,Female,Machine Learning,21,4.97,fthornton,23,Female,christensencatherine@outlook.com,0,1,1,1,0.0
TT00006,U00004,CR00042,30/10/2025,0.0,Credit Card,TC00042,Investment Strategies,6,0,2,0.0,34.83,4.1,Yolanda Levine,49,Female,Machine Learning,21,4.97,fthornton,23,Female,christensencatherine@outlook.com,0,1,1,1,0.0
TT00007,U00004,CR00017,9/5/2025,0.0,Bank Transfer,TC00042,SEO Mastery,8,0,0,0.0,29.37,4.79,Yolanda Levine,49,Female,Machine Learning,21,4.97,fthornton,23,Female,christensencatherine@outlook.com,0,1,1,1,0.0
TT00008,U00004,CR00025,7/5/2025,299.57,Credit Card,TC00040,Statistical Analysis,3,1,1,299.57,48.32,3.74,Kimberly Miller,49,Male,Cybersecurity,24,4.58,fthornton,23,Female,christensencatherine@outlook.com,1,1,1,1,299.57
TT00009,U00013,CR00003,5/10/2025,0.0,PayPal,TC00040,C++ for Beginners,9,0,1,0.0,19.53,3.85,Kimberly Miller,49,Male,Cybersecurity,24,4.58,cherrykathleen,33,Female,michelewatkins@outlook.com,0,1,1,1,0.0
TT00010,U00013,CR00032,29/9/2025,0.0,Bank Transfer,TC00040,Ethical Hacking,2,0,0,0.0,16.74,2.38,Kimberly Miller,49,Male,Cybersecurity,24,4.58,cherrykathleen,33,Female,michelewatkins@outlook.com,0,1,1,1,0.0
